id,料理名ch,カテゴリー,材料ch,説明ch,料理名jp,材料jp,説明jp,料理名en,材料en,説明en,写真ファイル名,ソート順
11,红烧排骨,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,红烧排骨,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Braised Pork Ribs,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,braised-pork-ribs.jpg,11
12,可乐鸡翅,热菜-鸡肉,鸡肉、葱、姜、蒜、酱油、调味料,鸡肉鲜嫩，香气浓郁，滋味平衡。,可乐鸡翅,鶏肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Cola Chicken Wings,"chicken, scallion, ginger, garlic, soy sauce, seasonings",Tender chicken with aromatic seasoning and a balanced savory finish.,cola-chicken-wings.jpg,12
13,糖醋排骨,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,糖醋排骨,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Sweet and Sour Pork Ribs,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,sweet-and-sour-pork-ribs.jpg,13
14,水煮肉片,热菜-牛肉,牛肉、葱、姜、蒜、酱油、调味料,牛肉嫩滑，咸香适口，滋味饱满。,水煮肉片,牛肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな牛肉を香ばしく仕上げ、しっかりした旨味を楽しめます。,Sichuan Boiled Sliced Beef,"beef, scallion, ginger, garlic, soy sauce, seasonings","Tender beef with a savory aroma and rich, balanced flavor.",sichuan-boiled-sliced-beef.jpg,14
15,口水鸡,凉菜,时令蔬菜、葱、蒜、香醋、香油,清爽开胃，口感鲜明，适合作为餐前小菜。,口水鸡,きゅうり、ねぎ、にんにく、黒酢、ごま油,さっぱりとした味わいで、前菜にもぴったりの一品です。,Sichuan Mouthwatering Chicken,"cucumber, scallion, garlic, black vinegar, sesame oil",A refreshing appetizer with clean flavors and appealing texture.,sichuan-mouthwatering-chicken.jpg,15
16,红烧猪蹄,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,红烧猪蹄,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Braised Pig Trotter,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,braised-pig-trotter.jpg,16
17,番茄牛肉,热菜-牛肉,牛肉、葱、姜、蒜、酱油、调味料,牛肉嫩滑，咸香适口，滋味饱满。,番茄牛肉,牛肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな牛肉を香ばしく仕上げ、しっかりした旨味を楽しめます。,Tomato Beef,"beef, scallion, ginger, garlic, soy sauce, seasonings","Tender beef with a savory aroma and rich, balanced flavor.",tomato-beef.jpg,17
18,红烧茄子,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,红烧茄子,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Braised Eggplant,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,braised-eggplant.jpg,18
19,腊肉蒜苔,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,腊肉蒜苔,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Chinese Bacon with Garlic Sprouts,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,chinese-bacon-with-garlic-sprouts.jpg,19
20,鱼香茄子,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,鱼香茄子,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Fish-Fragrant Eggplant,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,fish-fragrant-eggplant.jpg,20
21,辣子鸡,热菜-鸡肉,鸡肉、葱、姜、蒜、酱油、调味料,鸡肉鲜嫩，香气浓郁，滋味平衡。,辣子鸡,鶏肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Chongqing Spicy Chicken,"chicken, scallion, ginger, garlic, soy sauce, seasonings",Tender chicken with aromatic seasoning and a balanced savory finish.,chongqing-spicy-chicken.jpg,21
22,牛肉炖土豆,热菜-牛肉,牛肉、葱、姜、蒜、酱油、调味料,牛肉嫩滑，咸香适口，滋味饱满。,牛肉炖土豆,牛肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな牛肉を香ばしく仕上げ、しっかりした旨味を楽しめます。,Beef Stew with Potato,"beef, scallion, ginger, garlic, soy sauce, seasonings","Tender beef with a savory aroma and rich, balanced flavor.",beef-stew-with-potato.jpg,22
23,干煸豆角,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,干煸豆角,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Dry-Fried Green Beans,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,dry-fried-green-beans.jpg,23
24,红烧狮子头,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,红烧狮子头,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Braised Lion's Head Meatballs,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,braised-lion-s-head-meatballs.jpg,24
25,清蒸狮子头,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,清蒸狮子头,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Steamed Lion's Head Meatballs,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,steamed-lion-s-head-meatballs.jpg,25
26,小鸡炖蘑菇,热菜-鸡肉,鸡肉、葱、姜、蒜、酱油、调味料,鸡肉鲜嫩，香气浓郁，滋味平衡。,小鸡炖蘑菇,鶏肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Chicken and Mushroom Stew,"chicken, scallion, ginger, garlic, soy sauce, seasonings",Tender chicken with aromatic seasoning and a balanced savory finish.,chicken-and-mushroom-stew.jpg,26
27,糖醋里脊,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,糖醋里脊,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Sweet and Sour Pork Tenderloin,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,sweet-and-sour-pork-tenderloin.jpg,27
28,小酥肉,热菜-其他,主料、葱、姜、蒜、特色酱汁、调味料,香气丰富，层次分明，呈现餐厅特色风味。,小酥肉,主材料、ねぎ、生姜、にんにく、特製ソース、調味料,香りと味わいのバランスを大切にした店のおすすめ料理です。,Crispy Fried Pork,"main ingredient, scallion, ginger, garlic, signature sauce, seasonings","A flavorful house-style dish with a balanced, layered profile.",crispy-fried-pork.jpg,28
29,京酱肉丝,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,京酱肉丝,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Beijing-Style Shredded Pork,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,beijing-style-shredded-pork.jpg,29
30,地三鲜,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,地三鲜,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Di San Xian,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,di-san-xian.jpg,30
31,避风塘炒虾,热菜-海鲜,海鲜、葱、姜、蒜、酱油、调味料,海鲜鲜甜，调味清晰，突出食材风味。,避风塘炒虾,海鮮、ねぎ、生姜、にんにく、醤油、調味料,海鮮の自然な甘味と旨味を引き出した一皿です。,Typhoon Shelter Prawns,"seafood, scallion, ginger, garlic, soy sauce, seasonings",Fresh seafood prepared to highlight its natural sweetness and umami.,typhoon-shelter-prawns.jpg,31
32,酱牛肉,凉菜,时令蔬菜、葱、蒜、香醋、香油,清爽开胃，口感鲜明，适合作为餐前小菜。,酱牛肉,きゅうり、ねぎ、にんにく、黒酢、ごま油,さっぱりとした味わいで、前菜にもぴったりの一品です。,Soy-Braised Beef,"cucumber, scallion, garlic, black vinegar, sesame oil",A refreshing appetizer with clean flavors and appealing texture.,soy-braised-beef.jpg,32
33,油焖大虾,热菜-海鲜,海鲜、葱、姜、蒜、酱油、调味料,海鲜鲜甜，调味清晰，突出食材风味。,油焖大虾,海鮮、ねぎ、生姜、にんにく、醤油、調味料,海鮮の自然な甘味と旨味を引き出した一皿です。,Oil-Braised Prawns,"seafood, scallion, ginger, garlic, soy sauce, seasonings",Fresh seafood prepared to highlight its natural sweetness and umami.,oil-braised-prawns.jpg,33
34,肉末茄子,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,肉末茄子,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Eggplant with Minced Pork,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,eggplant-with-minced-pork.jpg,34
35,茄子拌饭,主食,米饭或面食、葱、酱油、调味料,简单而满足，适合搭配各式菜肴。,茄子拌饭,ご飯または麺、ねぎ、醤油、調味料,料理との相性がよく、食事をしっかり楽しめる主食です。,Eggplant Rice Bowl,"rice or noodles, scallion, soy sauce, seasonings",A satisfying staple designed to pair naturally with the main dishes.,eggplant-rice-bowl.jpg,35
36,金针菇肉卷,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,金针菇肉卷,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Pork Rolls with Enoki Mushroom,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,pork-rolls-with-enoki-mushroom.jpg,36
37,孜然羊肉,热菜-羊肉,羊肉、孜然、洋葱、香菜,羊肉鲜嫩，香气浓郁，风味醇厚。,クミン風味のラム肉炒め,羊肉、クミン、玉ねぎ、香菜,羊肉の旨味と香りを生かした、風味豊かな料理です。,Cumin Lamb,"lamb, cumin, onion, cilantro","Tender lamb with a fragrant, full-bodied finish.",cumin-lamb.jpg,37
38,韭菜炒鸡蛋,热菜-鸡肉,鸡肉、葱、姜、蒜、酱油、调味料,鸡肉鲜嫩，香气浓郁，滋味平衡。,韭菜炒鸡蛋,鶏肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Chive and Egg Stir-fry,"chicken, scallion, ginger, garlic, soy sauce, seasonings",Tender chicken with aromatic seasoning and a balanced savory finish.,chive-and-egg-stir-fry.jpg,38
39,茄盒,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,茄盒,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Stuffed Eggplant,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,stuffed-eggplant.jpg,39
40,韭菜盒子,主食,米饭或面食、葱、酱油、调味料,简单而满足，适合搭配各式菜肴。,韭菜盒子,ご飯または麺、ねぎ、醤油、調味料,料理との相性がよく、食事をしっかり楽しめる主食です。,Chinese Chive Pockets,"rice or noodles, scallion, soy sauce, seasonings",A satisfying staple designed to pair naturally with the main dishes.,chinese-chive-pockets.jpg,40
41,排骨玉米汤,汤,主料、葱、姜、豆腐、清汤,汤味清鲜，口感温润，适合佐餐。,排骨玉米汤,主材料、ねぎ、生姜、豆腐、だし,素材の旨味を生かした、やさしく温かなスープです。,Pork Rib and Corn Soup,"main ingredients, scallion, ginger, tofu, stock","A warm, gentle soup that brings out the natural umami of its ingredients.",pork-rib-and-corn-soup.jpg,41
42,西红柿鸡蛋汤,汤,主料、葱、姜、豆腐、清汤,汤味清鲜，口感温润，适合佐餐。,西红柿鸡蛋汤,主材料、ねぎ、生姜、豆腐、だし,素材の旨味を生かした、やさしく温かなスープです。,Tomato Egg Soup,"main ingredients, scallion, ginger, tofu, stock","A warm, gentle soup that brings out the natural umami of its ingredients.",tomato-egg-soup.jpg,42
43,八宝粥,汤,主料、葱、姜、豆腐、清汤,汤味清鲜，口感温润，适合佐餐。,八宝粥,主材料、ねぎ、生姜、豆腐、だし,素材の旨味を生かした、やさしく温かなスープです。,Eight-Treasure Porridge,"main ingredients, scallion, ginger, tofu, stock","A warm, gentle soup that brings out the natural umami of its ingredients.",eight-treasure-porridge.jpg,43
44,绿豆汤,汤,主料、葱、姜、豆腐、清汤,汤味清鲜，口感温润，适合佐餐。,绿豆汤,主材料、ねぎ、生姜、豆腐、だし,素材の旨味を生かした、やさしく温かなスープです。,Mung Bean Soup,"main ingredients, scallion, ginger, tofu, stock","A warm, gentle soup that brings out the natural umami of its ingredients.",mung-bean-soup.jpg,44
45,文思豆腐,汤,主料、葱、姜、豆腐、清汤,汤味清鲜，口感温润，适合佐餐。,文思豆腐,主材料、ねぎ、生姜、豆腐、だし,素材の旨味を生かした、やさしく温かなスープです。,Wensi Tofu Soup,"main ingredients, scallion, ginger, tofu, stock","A warm, gentle soup that brings out the natural umami of its ingredients.",wensi-tofu-soup.jpg,45
46,陕西手打面,主食,米饭或面食、葱、酱油、调味料,简单而满足，适合搭配各式菜肴。,陕西手打面,ご飯または麺、ねぎ、醤油、調味料,料理との相性がよく、食事をしっかり楽しめる主食です。,Shaanxi Hand-Pulled Noodles,"rice or noodles, scallion, soy sauce, seasonings",A satisfying staple designed to pair naturally with the main dishes.,shaanxi-hand-pulled-noodles.jpg,46
47,蛋炒饭,主食,米饭或面食、葱、酱油、调味料,简单而满足，适合搭配各式菜肴。,蛋炒饭,ご飯または麺、ねぎ、醤油、調味料,料理との相性がよく、食事をしっかり楽しめる主食です。,Egg Fried Rice,"rice or noodles, scallion, soy sauce, seasonings",A satisfying staple designed to pair naturally with the main dishes.,egg-fried-rice.jpg,47
48,扬州炒饭,主食,米饭、鸡蛋、火腿、虾仁、青豆,简单而满足，适合搭配各式菜肴。,揚州炒飯,ご飯、卵、ハム、えび、グリーンピース,料理との相性がよく、食事をしっかり楽しめる主食です。,Yangzhou Fried Rice,"rice, egg, ham, shrimp, green peas",A satisfying staple designed to pair naturally with the main dishes.,yangzhou-fried-rice.jpg,48
49,烤鸡翅,热菜-鸡肉,鸡肉、葱、姜、蒜、酱油、调味料,鸡肉鲜嫩，香气浓郁，滋味平衡。,烤鸡翅,鶏肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Grilled Chicken Wings,"chicken, scallion, ginger, garlic, soy sauce, seasonings",Tender chicken with aromatic seasoning and a balanced savory finish.,grilled-chicken-wings.jpg,49
50,照烧鸡腿,热菜-鸡肉,鸡肉、葱、姜、蒜、酱油、调味料,鸡肉鲜嫩，香气浓郁，滋味平衡。,照烧鸡腿,鶏肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Teriyaki Chicken Thigh,"chicken, scallion, ginger, garlic, soy sauce, seasonings",Tender chicken with aromatic seasoning and a balanced savory finish.,teriyaki-chicken-thigh.jpg,50
51,青椒鸡碎碎,热菜-鸡肉,鸡肉、葱、姜、蒜、酱油、调味料,鸡肉鲜嫩，香气浓郁，滋味平衡。,青椒鸡碎碎,鶏肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Minced Chicken with Green Pepper,"chicken, scallion, ginger, garlic, soy sauce, seasonings",Tender chicken with aromatic seasoning and a balanced savory finish.,minced-chicken-with-green-pepper.jpg,51
52,各种丁丁,创意菜,时令食材、香草、特色酱汁、调味料,融合不同风味与做法，呈现轻松有趣的创意表达。,各种丁丁,季節の食材、ハーブ、特製ソース、調味料,異なる食材や技法を組み合わせた、遊び心のある創作料理です。,Assorted Diced Ingredients,"seasonal ingredients, herbs, signature sauce, seasonings",A playful creative dish combining distinctive ingredients and techniques.,assorted-diced-ingredients.jpg,52
53,墨西哥taco,创意菜,时令食材、香草、特色酱汁、调味料,融合不同风味与做法，呈现轻松有趣的创意表达。,墨西哥taco,季節の食材、ハーブ、特製ソース、調味料,異なる食材や技法を組み合わせた、遊び心のある創作料理です。,Mexican Taco,"seasonal ingredients, herbs, signature sauce, seasonings",A playful creative dish combining distinctive ingredients and techniques.,mexican-taco.jpg,53
54,粉丝扇贝,热菜-海鲜,海鲜、葱、姜、蒜、酱油、调味料,海鲜鲜甜，调味清晰，突出食材风味。,粉丝扇贝,海鮮、ねぎ、生姜、にんにく、醤油、調味料,海鮮の自然な甘味と旨味を引き出した一皿です。,Scallop with Glass Noodles,"seafood, scallion, ginger, garlic, soy sauce, seasonings",Fresh seafood prepared to highlight its natural sweetness and umami.,scallop-with-glass-noodles.jpg,54
55,干煸土豆片,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,干煸土豆片,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Dry-Fried Potato Slices,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,dry-fried-potato-slices.jpg,55
56,干煸菜花,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,干煸菜花,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Dry-Fried Cauliflower,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,dry-fried-cauliflower.jpg,56
57,拍黄瓜,凉菜,时令蔬菜、葱、蒜、香醋、香油,清爽开胃，口感鲜明，适合作为餐前小菜。,拍黄瓜,きゅうり、ねぎ、にんにく、黒酢、ごま油,さっぱりとした味わいで、前菜にもぴったりの一品です。,Smashed Cucumber Salad,"cucumber, scallion, garlic, black vinegar, sesame oil",A refreshing appetizer with clean flavors and appealing texture.,smashed-cucumber-salad.jpg,57
58,东南亚炒面,凉菜,时令蔬菜、葱、蒜、香醋、香油,清爽开胃，口感鲜明，适合作为餐前小菜。,东南亚炒面,きゅうり、ねぎ、にんにく、黒酢、ごま油,さっぱりとした味わいで、前菜にもぴったりの一品です。,Southeast Asian Fried Noodles,"cucumber, scallion, garlic, black vinegar, sesame oil",A refreshing appetizer with clean flavors and appealing texture.,southeast-asian-fried-noodles.jpg,58
59,烤羊排,热菜-羊肉,羊肉、孜然、葱、姜、调味料,羊肉鲜嫩，香气浓郁，风味醇厚。,烤羊排,羊肉、クミン、ねぎ、生姜、調味料,羊肉の旨味と香りを生かした、風味豊かな料理です。,Grilled Lamb Chops,"lamb, cumin, scallion, ginger, seasonings","Tender lamb with a fragrant, full-bodied finish.",grilled-lamb-chops.jpg,59
60,低温料理鸡,热菜-鸡肉,鸡肉、葱、姜、蒜、酱油、调味料,鸡肉鲜嫩，香气浓郁，滋味平衡。,低温料理鸡,鶏肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Low-Temperature Cooked Chicken,"chicken, scallion, ginger, garlic, soy sauce, seasonings",Tender chicken with aromatic seasoning and a balanced savory finish.,low-temperature-cooked-chicken.jpg,60
61,锅包肉,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,锅包肉,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Crispy Sweet and Sour Pork,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,crispy-sweet-and-sour-pork.jpg,61
62,葱爆羊肉,热菜-羊肉,羊肉、孜然、葱、姜、调味料,羊肉鲜嫩，香气浓郁，风味醇厚。,葱爆羊肉,羊肉、クミン、ねぎ、生姜、調味料,羊肉の旨味と香りを生かした、風味豊かな料理です。,Scallion Lamb Stir-fry,"lamb, cumin, scallion, ginger, seasonings","Tender lamb with a fragrant, full-bodied finish.",scallion-lamb-stir-fry.jpg,62
63,烤羊肉串,热菜-羊肉,羊肉、孜然、葱、姜、调味料,羊肉鲜嫩，香气浓郁，风味醇厚。,烤羊肉串,羊肉、クミン、ねぎ、生姜、調味料,羊肉の旨味と香りを生かした、風味豊かな料理です。,Grilled Lamb Skewers,"lamb, cumin, scallion, ginger, seasonings","Tender lamb with a fragrant, full-bodied finish.",grilled-lamb-skewers.jpg,63
64,红烧羊肉,热菜-羊肉,羊肉、孜然、葱、姜、调味料,羊肉鲜嫩，香气浓郁，风味醇厚。,红烧羊肉,羊肉、クミン、ねぎ、生姜、調味料,羊肉の旨味と香りを生かした、風味豊かな料理です。,Braised Lamb,"lamb, cumin, scallion, ginger, seasonings","Tender lamb with a fragrant, full-bodied finish.",braised-lamb.jpg,64
65,肉皮冻,凉菜,时令蔬菜、葱、蒜、香醋、香油,清爽开胃，口感鲜明，适合作为餐前小菜。,肉皮冻,きゅうり、ねぎ、にんにく、黒酢、ごま油,さっぱりとした味わいで、前菜にもぴったりの一品です。,Pork Skin Aspic,"cucumber, scallion, garlic, black vinegar, sesame oil",A refreshing appetizer with clean flavors and appealing texture.,pork-skin-aspic.jpg,65
66,肴肉,凉菜,时令蔬菜、葱、蒜、香醋、香油,清爽开胃，口感鲜明，适合作为餐前小菜。,肴肉,きゅうり、ねぎ、にんにく、黒酢、ごま油,さっぱりとした味わいで、前菜にもぴったりの一品です。,Jiangsu Salted Pork,"cucumber, scallion, garlic, black vinegar, sesame oil",A refreshing appetizer with clean flavors and appealing texture.,jiangsu-salted-pork.jpg,66
